#Frame          CA.CA   CA.CA[Max]
     245      11.4704      21.5974
     246      11.4218      20.0587
     247      11.4602      20.7447
     248      11.5330      20.1657
     249      11.4774      19.8491
     250      11.5172      20.4084
     251      11.4989      20.9533
     252      11.4044      19.8526
     253      11.4764      20.2851
     254      11.5627      20.9000
     255      11.6076      20.3939
     256      11.5490      20.0102
     257      11.5905      20.3083
     258      11.4494      21.3989
     259      11.5252      21.6183
     260      11.4987      21.1092
     261      11.4299      20.5130
     262      11.4704      21.1374
     263      11.4340      20.3896
     264      11.3941      20.9263
     265      11.4271      20.7395
     266      11.4269      19.7368
     267      11.4643      21.0264
     268      11.4531      21.2374
     269      11.4961      21.3779
     270      11.4840      21.1800
     271      11.5581      21.0261
     272      11.4059      20.6595
     273      11.4577      19.7202
     274      11.4681      20.3516
     275      11.4984      19.9173
     276      11.4964      19.8780
     277      11.4869      20.2534
     278      11.4701      19.7861
     279      11.4914      19.9256
     280      11.3882      19.7224
     281      11.3985      20.1672
     282      11.4678      19.6932
     283      11.5089      20.3448
     284      11.3911      19.5334
     285      11.5099      19.7188
     286      11.4691      20.2507
     287      11.5056      20.2548
     288      11.3941      20.1585
     289      11.4738      19.9756
     290      11.5050      20.0562
     291      11.4334      19.7371
     292      11.4308      19.5274
     293      11.4419      20.4664
     294      11.4511      20.3183
     295      11.4340      19.9188
     296      11.4335      19.9088
     297      11.4333      19.2628
     298      11.3990      20.0098
     299      11.4212      20.1368
     300      11.4679      19.4737
     301      11.4690      19.6718
     302      11.4696      19.8050
     303      11.5196      21.6389
     304      11.5988      21.4804
     305      11.5907      21.6343
     306      11.5191      20.9361
     307      11.6121      21.9102
     308      11.5213      22.1413
     309      11.6757      22.0502
     310      11.5815      20.8309
     311      11.5964      22.1864
     312      11.5039      21.8686
     313      11.4812      21.8787
     314      11.5442      22.7967
     315      11.6405      21.4683
     316      11.6132      21.9661
     317      11.5657      21.7093
     318      11.5327      22.0054
     319      11.5131      20.4716
     320      11.4899      21.8083
     321      11.4779      20.0832
     322      11.4461      20.7210
     323      11.4971      21.1663
     324      11.4068      20.7922
     325      11.3771      19.9266
     326      11.5068      20.0266
     327      11.5528      21.0717
     328      11.5846      21.3666
     329      11.4569      20.3447
     330      11.4751      20.0523
     331      11.4333      20.3906
     332      11.5824      22.0436
     333      11.5263      22.1596
     334      11.4482      19.8201
     335      11.4662      19.7452
     336      11.3990      19.9737
     337      11.4557      19.3805
     338      11.3901      19.5094
     339      11.5007      20.6367
     340      11.3973      20.5797
     341      11.4541      20.6219
     342      11.4730      20.5059
     343      11.5353      20.6226
     344      11.5039      19.8823
     345      11.4094      19.7372
     346      11.5837      22.7975
     347      11.4831      21.8644
     348      11.4672      19.7941
     349      11.5169      21.8162
     350      11.4836      20.6322
     351      11.4938      19.7759
     352      11.4142      20.3425
     353      11.5135      20.3004
     354      11.4753      21.8387
     355      11.4972      19.8335
     356      11.3717      20.6974
     357      11.4906      20.5691
     358      11.3837      20.4913
     359      11.3854      19.7227
     360      11.5197      20.1643
     361      11.5403      20.0446
     362      11.4730      20.3434
     363      11.5057      19.7594
     364      11.5276      20.0445
     365      11.5048      21.4324
     366      11.5398      20.2588
     367      11.5081      20.2036
     368      11.5086      20.9832
     369      11.4516      20.4681
     370      11.6218      22.0865
     371      11.4325      21.4309
     372      11.5418      21.3078
     373      11.6120      21.3625
     374      11.4965      20.8448
     375      11.4582      20.5567
     376      11.5723      21.6538
     377      11.5052      20.4107
     378      11.4861      20.9587
     379      11.5081      20.4721
     380      11.4949      22.0319
     381      11.5196      20.1992
     382      11.6070      21.6361
     383      11.5244      21.0857
     384      11.4385      19.7845
     385      11.4795      22.0679
     386      11.4079      19.8152
     387      11.4394      20.2108
     388      11.4336      20.8098
     389      11.5514      21.6833
     390      11.5668      20.1541
     391      11.4511      20.8715
     392      11.4072      21.1186
     393      11.5644      20.7821
     394      11.6357      22.4364
     395      11.5153      20.5709
     396      11.5219      21.6463
     397      11.4359      20.7367
     398      11.5585      22.8546
     399      11.4467      22.1101
     400      11.5227      21.8790
     401      11.4017      19.9232
     402      11.5312      21.6650
     403      11.4380      20.5038
     404      11.4280      21.2733
     405      11.6141      21.3439
     406      11.5183      20.1679
     407      11.5120      21.3533
     408      11.4855      21.3065
     409      11.5299      21.1825
     410      11.4616      20.9924
     411      11.5335      20.4202
     412      11.5865      20.8959
     413      11.6090      21.9857
     414      11.5549      20.6355
     415      11.5426      21.6444
     416      11.4304      20.3412
     417      11.4966      20.7597
     418      11.5208      21.5122
     419      11.5054      21.5546
     420      11.4566      20.8272
     421      11.4520      20.2998
     422      11.5817      22.4273
     423      11.5020      20.8907
     424      11.5651      21.4665
     425      11.5425      21.3097
     426      11.5588      21.2907
     427      11.4974      20.5266
     428      11.4895      21.3592
     429      11.6585      21.0879
     430      11.5491      22.5592
     431      11.5044      20.6993
     432      11.5088      20.4156
     433      11.6039      20.4563
     434      11.5797      20.0294
     435      11.5539      20.6179
     436      11.5246      20.7604
     437      11.5539      20.4089
     438      11.6067      22.0371
     439      11.5853      20.9152
     440      11.5610      20.4592
     441      11.5568      21.6992
     442      11.6139      21.4869
     443      11.6534      20.9158
     444      11.5171      20.1797
     445      11.4917      20.8037
     446      11.5878      21.6330
     447      11.5365      21.5139
     448      11.5315      19.6255
     449      11.6613      20.9836
     450      11.5580      20.7866
     451      11.5733      20.8845
     452      11.6020      20.3079
     453      11.4657      21.5045
     454      11.5360      19.9967
     455      11.5572      20.8442
     456      11.5289      21.2958
     457      11.5871      20.5479
     458      11.5222      20.5932
     459      11.5486      20.7426
     460      11.4326      20.2933
     461      11.5917      21.2932
     462      11.5315      21.4605
     463      11.5758      20.2920
     464      11.5685      21.1758
     465      11.4965      20.8618
     466      11.5171      20.3909
     467      11.4518      21.3342
     468      11.3687      20.2375
     469      11.5211      20.8842
     470      11.5545      20.9176
     471      11.5686      20.6703
     472      11.5367      21.5691
     473      11.3724      19.3999
     474      11.4848      19.9122
     475      11.4586      21.2529
     476      11.4718      20.2825
     477      11.4251      21.5990
     478      11.5170      20.9985
     479      11.4605      20.8822
     480      11.4471      21.1840
     481      11.5046      21.0075
     482      11.4795      20.5586
     483      11.5056      21.1524
     484      11.4385      20.9419
     485      11.4166      21.7256
     486      11.5002      21.5019
     487      11.4860      20.5659
     488      11.5023      21.4310
     489      11.4762      22.6652
     490      11.5855      20.9106
     491      11.5821      20.8513
     492      11.4967      20.4394
     493      11.4133      21.3216
     494      11.6457      21.5633
     495      11.5992      21.0798
     496      11.4505      21.0013
     497      11.4978      19.5631
     498      11.5364      21.0937
     499      11.5382      20.3176
     500      11.5469      22.2078
