#Frame          CA.CA   CA.CA[Max]
     245      14.6457      33.4543
     246      14.4808      33.0098
     247      14.5183      33.5531
     248      14.5509      34.0791
     249      14.5899      33.9029
     250      14.7085      34.0692
     251      14.5854      33.6804
     252      14.6556      33.8429
     253      14.6233      32.3831
     254      14.4587      33.5120
     255      14.6587      33.4052
     256      14.6539      33.1876
     257      14.7284      33.6055
     258      14.5850      33.8345
     259      14.6003      33.6826
     260      14.5139      33.0688
     261      14.5107      32.8229
     262      14.5549      32.2971
     263      14.5525      33.2893
     264      14.5531      33.0776
     265      14.5321      33.4499
     266      14.4338      33.1105
     267      14.5365      33.0367
     268      14.5876      33.4013
     269      14.5573      33.5207
     270      14.4212      32.3652
     271      14.4692      33.5793
     272      14.5782      33.0493
     273      14.5555      33.1613
     274      14.6210      33.5935
     275      14.5186      32.7415
     276      14.5662      33.1976
     277      14.6139      33.8056
     278      14.5989      33.8223
     279      14.4871      32.6122
     280      14.6465      33.8246
     281      14.5060      33.3173
     282      14.5462      33.7127
     283      14.6318      33.8448
     284      14.5151      33.5567
     285      14.5794      33.6932
     286      14.5328      33.2968
     287      14.5573      32.8510
     288      14.6310      34.1282
     289      14.5981      34.4420
     290      14.5280      33.7827
     291      14.4844      33.1894
     292      14.4307      33.1717
     293      14.5701      34.4087
     294      14.5601      33.9834
     295      14.5434      33.4548
     296      14.4954      33.5866
     297      14.4499      33.2473
     298      14.4686      33.6928
     299      14.5826      33.3492
     300      14.4815      32.9350
     301      14.5405      33.6977
     302      14.5742      34.2638
     303      14.5624      33.9898
     304      14.4732      33.6285
     305      14.4519      33.1230
     306      14.5177      33.9119
     307      14.4792      33.2297
     308      14.5679      34.0113
     309      14.4937      33.6017
     310      14.6217      33.9158
     311      14.4704      33.4822
     312      14.4080      32.6710
     313      14.3376      33.6283
     314      14.3734      33.8344
     315      14.4539      33.8677
     316      14.4647      33.7581
     317      14.4167      33.3142
     318      14.5543      33.1724
     319      14.6817      34.3286
     320      14.6421      33.6990
     321      14.5543      34.0237
     322      14.5281      33.0868
     323      14.5660      33.7377
     324      14.5685      33.8316
     325      14.5306      34.2354
     326      14.6840      32.5051
     327      14.5888      34.0075
     328      14.4679      33.8956
     329      14.4635      33.2039
     330      14.6363      34.3303
     331      14.5400      33.4870
     332      14.5510      33.4436
     333      14.6122      33.1597
     334      14.6967      34.0812
     335      14.7049      34.0520
     336      14.6159      33.8040
     337      14.5626      33.9582
     338      14.7218      34.1445
     339      14.5242      33.3629
     340      14.5238      33.2464
     341      14.5486      33.1769
     342      14.5217      33.2755
     343      14.3984      33.7418
     344      14.4282      32.7196
     345      14.4867      33.6129
     346      14.6712      33.4352
     347      14.5615      33.5663
     348      14.5857      34.0424
     349      14.5358      33.7746
     350      14.5656      33.0445
     351      14.6112      33.8130
     352      14.6291      33.5348
     353      14.5231      33.1190
     354      14.6573      34.8503
     355      14.6177      33.0990
     356      14.6395      33.1067
     357      14.4805      33.9314
     358      14.4646      33.3058
     359      14.5455      33.6802
     360      14.5393      33.8844
     361      14.5029      34.2350
     362      14.4880      33.3021
     363      14.5675      33.7647
     364      14.6194      33.9519
     365      14.5458      33.3261
     366      14.5774      33.4588
     367      14.5878      34.1863
     368      14.5791      34.1505
     369      14.6346      33.3630
     370      14.6929      34.4333
     371      14.6470      34.5902
     372      14.5868      33.7171
     373      14.4978      32.8463
     374      14.5048      32.9294
     375      14.4709      33.3985
     376      14.4729      33.6953
     377      14.4881      33.5385
     378      14.6044      33.5885
     379      14.4788      33.1481
     380      14.5899      33.3606
     381      14.6001      34.4881
     382      14.6979      34.2974
     383      14.5034      33.3176
     384      14.7131      34.6526
     385      14.6402      34.1631
     386      14.5561      33.5159
     387      14.4811      33.6522
     388      14.5265      33.0088
     389      14.5749      32.2404
     390      14.5367      34.2186
     391      14.6728      34.6936
     392      14.6565      33.6628
     393      14.6384      33.7651
     394      14.4804      34.7121
     395      14.5061      33.3182
     396      14.5256      32.9309
     397      14.5114      33.1079
     398      14.4957      33.8167
     399      14.4863      34.1583
     400      14.4519      33.0668
     401      14.5041      33.8496
     402      14.5912      33.6896
     403      14.5596      33.6558
     404      14.6230      34.0639
     405      14.7033      34.2594
     406      14.4958      34.2368
     407      14.5695      34.4904
     408      14.6531      33.4671
     409      14.5133      33.7166
     410      14.6595      33.7409
     411      14.6383      33.5695
     412      14.5638      34.3233
     413      14.5753      34.1231
