#Frame    total[bond] total[angle]   total[dih] total[vdw14] total[elec14]   total[vdw]  total[elec] total[total]
       1     182.8310     513.2171     734.5378     226.0528     3634.4581    -422.5656   -4516.1247     352.4064
       2     181.7777     530.7136     692.2960     209.0638     3591.8629    -415.5750   -4507.0188     283.1203
       3     222.0995     511.1093     730.2207     214.5933     3631.0143    -433.4233   -4441.8926     433.7212
       4     189.4740     529.9994     736.7813     211.5712     3642.7816    -422.4187   -4470.3915     417.7974
       5     196.6636     499.0368     723.9328     214.8770     3599.1766    -427.6286   -4462.9542     343.1039
       6     208.9147     510.2643     723.0327     214.2244     3608.8612    -442.8540   -4447.3090     375.1342
       7     180.6728     489.0155     721.6262     218.3149     3656.1658    -419.5542   -4557.2812     288.9598
       8     179.4597     523.8038     716.8689     209.7935     3635.4495    -433.9081   -4461.2153     370.2520
       9     196.6037     523.9136     743.6329     219.6864     3659.9089    -432.0795   -4420.4129     491.2530
      10     237.6071     521.9616     726.5093     208.9868     3636.2961    -427.9494   -4429.2713     474.1402
      11     195.6846     510.1008     713.9276     221.8952     3651.5803    -418.2175   -4452.0517     422.9193
      12     183.2773     521.5880     737.1215     210.9364     3639.8071    -441.7209   -4382.9947     468.0146
      13     188.3329     505.2559     716.9949     207.3249     3607.0225    -426.7706   -4386.2205     411.9401
      14     229.0094     489.6578     703.9852     217.4659     3655.3490    -427.0193   -4382.4508     485.9971
      15     196.4417     525.7536     712.7261     204.3577     3604.1988    -429.5478   -4341.5798     472.3504
      16     212.2105     480.5625     716.3529     209.9819     3606.8024    -417.2689   -4353.5575     455.0838
      17     209.3213     524.9255     721.7956     212.4354     3583.4790    -417.8866   -4377.3426     456.7277
      18     210.5819     507.5833     722.7883     208.7356     3610.7372    -413.6877   -4418.0185     428.7200
      19     202.4859     513.5774     719.1484     206.9224     3618.5208    -417.9838   -4474.5036     368.1676
      20     202.0200     519.8467     710.2558     211.7223     3631.3841    -413.4362   -4441.4112     420.3815
      21     209.2652     509.5890     736.7007     217.2107     3621.5741    -429.7825   -4425.3458     439.2113
      22     196.5558     503.6385     737.4694     218.7316     3658.6557    -418.8065   -4489.3200     406.9245
      23     232.3802     491.9029     728.4296     211.8431     3617.0709    -425.3965   -4438.7150     417.5153
      24     191.7206     522.1305     711.2802     214.7903     3648.4068    -409.4047   -4509.7794     369.1443
      25     188.4928     505.7017     711.7320     216.9452     3630.9230    -413.5605   -4388.3337     451.9006
      26     202.7291     514.7060     705.0531     206.3907     3656.4076    -429.5890   -4408.1128     447.5846
      27     192.5929     514.3924     720.8964     211.2061     3624.9273    -421.7567   -4410.6104     431.6480
      28     204.8278     505.1993     700.4283     201.8242     3627.2504    -423.4420   -4432.4443     383.6437
      29     180.3337     528.3882     732.0470     220.4828     3658.5844    -419.4287   -4422.9498     477.4577
      30     169.1317     514.2373     720.3092     210.2651     3671.8811    -448.1581   -4424.0014     413.6649
      31     197.0034     508.5579     726.6938     211.3915     3629.4061    -423.8032   -4501.8898     347.3598
      32     206.6668     490.5780     716.4974     203.0969     3620.3948    -416.4398   -4488.8589     331.9351
      33     174.2245     516.1165     743.6190     214.0891     3649.5405    -433.5847   -4536.0911     327.9138
      34     193.9239     504.0695     716.8435     206.6366     3602.0420    -412.4872   -4471.0178     340.0105
      35     201.4289     479.9316     726.0940     206.3731     3650.9001    -423.4738   -4508.1115     333.1424
      36     199.7377     499.2556     722.7583     209.6034     3637.3295    -424.1664   -4446.0395     398.4786
      37     183.2559     498.8913     741.0309     209.6609     3687.5606    -423.9026   -4449.5653     446.9317
      38     203.1208     512.9122     724.4149     216.2281     3609.8410    -422.7210   -4456.5168     387.2793
      39     227.9696     502.9995     714.8966     211.1394     3638.8800    -423.5977   -4489.6954     382.5919
      40     200.3769     504.2872     717.4257     212.1877     3613.9320    -408.1196   -4466.3452     373.7447
      41     190.4684     513.2543     724.0589     210.0578     3624.5349    -430.8538   -4375.4031     456.1174
      42     190.5152     511.6479     697.7189     206.4542     3615.3860    -411.4984   -4431.9099     378.3139
      43     185.1205     505.9753     700.8714     217.6653     3625.2228    -420.4425   -4430.0816     384.3312
      44     200.9575     528.4721     720.9489     225.1126     3646.6460    -424.0621   -4494.7406     403.3345
      45     210.8372     525.5937     714.1722     214.1677     3629.8139    -410.7585   -4491.9528     391.8734
      46     184.2388     539.9343     714.6540     218.6777     3596.2709    -407.6612   -4421.0102     425.1042
      47     197.5213     506.2678     706.5603     215.7128     3625.9539    -420.8258   -4474.1210     357.0693
      48     192.4108     484.0823     727.8158     224.7632     3652.1082    -429.6886   -4501.0447     350.4470
      49     205.0832     525.6460     715.0702     209.4788     3611.2394    -432.5041   -4455.7874     378.2260
      50     187.9220     524.7983     714.0809     221.9941     3625.8377    -415.3413   -4460.0999     399.1919
      51     204.3827     485.6926     710.3933     220.4339     3661.9144    -407.5842   -4536.5689     338.6638
      52     188.2473     498.2684     721.7868     211.6584     3635.3367    -420.3280   -4398.4285     436.5411
      53     191.6940     519.4406     713.2499     210.6588     3652.3611    -417.3338   -4408.7519     461.3188
      54     189.6945     475.3852     727.1745     211.4907     3621.6022    -438.8802   -4395.2754     391.1914
      55     199.9450     503.3730     714.6631     221.7243     3623.9783    -429.7393   -4497.9680     335.9765
      56     204.2482     510.4590     707.5161     217.4991     3613.8117    -418.7269   -4469.5775     365.2297
      57     205.2421     516.9562     717.1573     214.8359     3613.7291    -416.9552   -4424.1274     426.8381
      58     183.7901     519.9352     734.4380     214.4632     3645.9093    -443.6820   -4526.9635     327.8902
